origin,destination,departure_date,price
BUD,INI,2025-08-01,83.7
BUD,AAH,2025-08-01,83.7
BUD,LUZ,2025-08-01,71.0
BUD,TSR,2025-08-01,91.99
BUD,CBP,2025-08-01,91.99
BUD,VAR,2025-08-01,160.99
BUD,TLL,2025-08-01,101.9
BUD,LCJ,2025-08-01,213.99
BUD,TBS,2025-08-01,118.43
BUD,VNO,2025-08-01,77.97
BUD,DBV,2025-08-01,133.99
BUD,LJU,2025-08-01,75.0
BUD,SPU,2025-08-01,133.99
BUD,OPO,2025-08-01,94.7
BUD,MMI,2025-08-01,94.7
BUD,ZAD,2025-08-01,175.97
BUD,HEL,2025-08-01,67.99
BUD,YXU,2025-08-01,554.99
BUD,PRG,2025-08-01,73.99
BUD,MUC,2025-08-01,73.0
BUD,LIS,2025-08-01,81.29
BUD,BLA,2025-08-01,448.0
BUD,WMI,2025-08-01,124.27
BUD,POZ,2025-08-01,80.0
BUD,CPH,2025-08-01,20.99
BUD,BML,2025-08-01,20.99
LIS,INI,2025-08-01,132.0
LIS,AAH,2025-08-01,132.0
LIS,LUZ,2025-08-01,125.0
LIS,TSR,2025-08-01,120.99
LIS,CBP,2025-08-01,120.99
LIS,VAR,2025-08-01,155.78
LIS,TLL,2025-08-01,87.0
LIS,LCJ,2025-08-01,225.99
LIS,TBS,2025-08-01,146.9
LIS,VNO,2025-08-01,126.85
LIS,DBV,2025-08-01,160.1
LIS,LJU,2025-08-01,122.0
LIS,SPU,2025-08-01,151.26
LIS,OPO,2025-08-01,35.0
LIS,MMI,2025-08-01,35.0
LIS,ZAD,2025-08-01,197.97
LIS,HEL,2025-08-01,110.0
LIS,YXU,2025-08-01,519.99
LIS,PRG,2025-08-01,64.93
LIS,MUC,2025-08-01,65.97
LIS,BUD,2025-08-01,49.97
LIS,BLA,2025-08-01,397.0
LIS,WMI,2025-08-01,127.2
LIS,POZ,2025-08-01,115.0
LIS,CPH,2025-08-01,62.14
LIS,BML,2025-08-01,62.14
BLA,INI,2025-08-01,922.0
BLA,AAH,2025-08-01,922.0
BLA,LUZ,2025-08-01,672.0
BLA,TSR,2025-08-01,475.0
BLA,CBP,2025-08-01,475.0
BLA,VAR,2025-08-01,728.0
BLA,TLL,2025-08-01,635.0
BLA,LCJ,2025-08-01,623.05
BLA,TBS,2025-08-01,456.0
BLA,VNO,2025-08-01,523.0
BLA,DBV,2025-08-01,500.0
BLA,LJU,2025-08-01,650.0
BLA,SPU,2025-08-01,505.0
BLA,OPO,2025-08-01,447.53
BLA,MMI,2025-08-01,447.53
BLA,HEL,2025-08-01,525.0
BLA,PRG,2025-08-01,451.0
BLA,MUC,2025-08-01,442.0
BLA,BUD,2025-08-01,437.98
BLA,LIS,2025-08-01,450.0
BLA,WMI,2025-08-01,682.52
BLA,POZ,2025-08-01,496.0
BLA,CPH,2025-08-01,433.0
BLA,BML,2025-08-01,433.0
WMI,INI,2025-08-01,224.5
WMI,AAH,2025-08-01,224.5
WMI,TSR,2025-08-01,211.14
WMI,CBP,2025-08-01,211.14
WMI,VAR,2025-08-01,237.45
WMI,TLL,2025-08-01,284.75
WMI,TBS,2025-08-01,319.32
WMI,OPO,2025-08-01,163.29
WMI,MMI,2025-08-01,163.29
WMI,PRG,2025-08-01,102.98
WMI,MUC,2025-08-01,127.82
WMI,BUD,2025-08-01,115.6
WMI,LIS,2025-08-01,126.46
WMI,BLA,2025-08-01,516.37
WMI,POZ,2025-08-01,133.02
WMI,CPH,2025-08-01,114.98
WMI,BML,2025-08-01,114.98
POZ,INI,2025-08-01,137.0
POZ,AAH,2025-08-01,137.0
POZ,LUZ,2025-08-01,43.1
POZ,TSR,2025-08-01,130.97
POZ,CBP,2025-08-01,130.97
POZ,VAR,2025-08-01,185.9
POZ,TLL,2025-08-01,106.86
POZ,LCJ,2025-08-01,221.08
POZ,TBS,2025-08-01,148.0
POZ,VNO,2025-08-01,118.85
POZ,DBV,2025-08-01,94.99
POZ,LJU,2025-08-01,103.2
POZ,SPU,2025-08-01,158.3
POZ,OPO,2025-08-01,143.0
POZ,MMI,2025-08-01,143.0
POZ,ZAD,2025-08-01,175.99
POZ,HEL,2025-08-01,126.4
POZ,YXU,2025-08-01,650.9
POZ,PRG,2025-08-01,72.0
POZ,MUC,2025-08-01,73.17
POZ,BUD,2025-08-01,79.0
POZ,LIS,2025-08-01,128.99
POZ,BLA,2025-08-01,491.0
POZ,WMI,2025-08-01,324.99
POZ,CPH,2025-08-01,67.9
POZ,BML,2025-08-01,67.9
CPH,INI,2025-08-01,110.9
CPH,AAH,2025-08-01,110.9
CPH,LUZ,2025-08-01,131.4
CPH,TSR,2025-08-01,125.8
CPH,CBP,2025-08-01,125.8
CPH,VAR,2025-08-01,158.16
CPH,TLL,2025-08-01,85.9
CPH,LCJ,2025-08-01,252.99
CPH,TBS,2025-08-01,160.0
CPH,VNO,2025-08-01,82.99
CPH,DBV,2025-08-01,134.99
CPH,LJU,2025-08-01,98.75
CPH,SPU,2025-08-01,122.84
CPH,OPO,2025-08-01,101.52
CPH,MMI,2025-08-01,101.52
CPH,ZAD,2025-08-01,169.99
CPH,HEL,2025-08-01,65.9
CPH,YXU,2025-08-01,693.9
CPH,PRG,2025-08-01,61.99
CPH,MUC,2025-08-01,88.97
CPH,BUD,2025-08-01,61.52
CPH,LIS,2025-08-01,110.99
CPH,BLA,2025-08-01,450.0
CPH,WMI,2025-08-01,260.99
CPH,POZ,2025-08-01,106.9
CPH,BML,2025-08-01,106.9
BML,BOJ,2025-08-01,106.9
BML,INI,2025-08-01,106.9
BML,AAH,2025-08-01,106.9
BML,RJK,2025-08-01,106.9
BML,QND,2025-08-01,106.9
BML,LUZ,2025-08-01,106.9
BML,TSR,2025-08-01,106.9
BML,CBP,2025-08-01,106.9
BML,VAR,2025-08-01,106.9
BML,TLL,2025-08-01,106.9
BML,LCJ,2025-08-01,106.9
BML,TBS,2025-08-01,106.9
BML,VNO,2025-08-01,106.9
BML,DBV,2025-08-01,106.9
BML,LJU,2025-08-01,106.9
BML,SPU,2025-08-01,106.9
BML,OPO,2025-08-01,106.9
BML,MMI,2025-08-01,106.9
BML,ZAD,2025-08-01,106.9
BML,HEL,2025-08-01,106.9
BML,YXU,2025-08-01,106.9
BML,VLN,2025-08-01,106.9
BML,PRG,2025-08-01,106.9
BML,MUC,2025-08-01,106.9
BML,BUD,2025-08-01,106.9
BML,LIS,2025-08-01,106.9
BML,BLA,2025-08-01,106.9
BML,WMI,2025-08-01,106.9
BML,POZ,2025-08-01,106.9
BML,CPH,2025-08-01,106.9
INI,LUZ,2025-08-02,203.43
INI,TSR,2025-08-02,215.99
INI,CBP,2025-08-02,215.99
INI,VAR,2025-08-02,217.0
INI,TLL,2025-08-02,295.31
INI,TBS,2025-08-02,342.99
INI,VNO,2025-08-02,317.99
INI,LJU,2025-08-02,224.0
INI,OPO,2025-08-02,385.99
INI,MMI,2025-08-02,385.99
INI,HEL,2025-08-02,279.96
INI,PRG,2025-08-02,240.0
INI,MUC,2025-08-02,328.99
INI,BUD,2025-08-02,102.0
INI,LIS,2025-08-02,183.0
INI,CPH,2025-08-02,219.94
INI,BML,2025-08-02,219.94
AAH,BOJ,2025-08-02,219.94
AAH,INI,2025-08-02,219.94
AAH,RJK,2025-08-02,219.94
AAH,QND,2025-08-02,219.94
AAH,LUZ,2025-08-02,219.94
AAH,TSR,2025-08-02,219.94
AAH,CBP,2025-08-02,219.94
AAH,VAR,2025-08-02,219.94
AAH,TLL,2025-08-02,219.94
AAH,LCJ,2025-08-02,219.94
AAH,TBS,2025-08-02,219.94
AAH,VNO,2025-08-02,219.94
AAH,DBV,2025-08-02,219.94
AAH,LJU,2025-08-02,219.94
AAH,SPU,2025-08-02,219.94
AAH,OPO,2025-08-02,219.94
AAH,MMI,2025-08-02,219.94
AAH,ZAD,2025-08-02,219.94
AAH,HEL,2025-08-02,219.94
AAH,YXU,2025-08-02,219.94
AAH,VLN,2025-08-02,219.94
AAH,PRG,2025-08-02,219.94
AAH,MUC,2025-08-02,219.94
AAH,BUD,2025-08-02,219.94
AAH,LIS,2025-08-02,219.94
AAH,BLA,2025-08-02,219.94
AAH,WMI,2025-08-02,219.94
AAH,POZ,2025-08-02,219.94
AAH,CPH,2025-08-02,219.94
AAH,BML,2025-08-02,219.94
LUZ,INI,2025-08-02,176.0
LUZ,AAH,2025-08-02,176.0
